"","id","source","FV","H","Book","X1770","X1774","X1780","red_pencil_PD","ink_melanges","Paral..to..Observations.","Paral..to..Supplément.","working_notes","n_word","Notes","other"
"28","26","V-FP_T1 L2","yes","yes","L2","not appeared","not appeared","appeared","yes","yes","","","","1379","Duchet: P.D. 368-371 + Mél // Goggi: §14-16 P.D. p. 368-371 + Mél p.295-296 and p. 298-299 (sans le §13, mais dans FI, f.222, cet alinéa
est marqué au crayon rouge) / Goggi: § 17-23: P.D. p. 372-376 + Mél p. 305-309
The fragment of Goggi includes probably more paragraphs than Duchet (P.D. p. 372-376 does not occur in Duchet)",""
"29","27","V-FP_T1 L3","yes","yes","L3","appeared","not changed","changed","yes","yes","no","yes (says Duch)","","319","Duchet: Supplément p. 236 and 201 // Goggi: aussi le §3, mais alors que les §1-2 sont marqués au crayon rouge, tandis que le §3 est 
marqué à la plume (I did not add §3 to FV-FP)",""
"30","28","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","no","no","yes","no","","230","Duchet: LivreIII Chap. 2 Observations p. 455 and 457 // Goggi: LivreIII Chap. 1 (!) Observations p. 455-456 (seulement une partie de l'alinéa)
Here is a difference in the referred chapters (Duchet 2 and Goggi 1) and the pages in the Observations differ a bit. 
I looked into the HDI. The fragment Goggi is refering to, is indeed in Chap. 1",""
"31","29","V-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","155","In Goggi's ""Liste"" no. 36 (with Asterix*)",""
"32","30","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","yes","no","","","","142","Goggi: P.D.p. 320-321 (same as Duchet) (une partie de §8) // I do not know which ""partie de §8"" Goggi is referring to, so I did not add 
anything to FV-FP",""
"33","31","V-FP_T1 L3","yes","yes","L3","n/a","not appeared","appeared","no","no","no","yes","","188","Duchet: Supplément p. 241 (F.21-D) // Goggi: This fragment is in his ""Liste"" no. 37 (with Asterix). In the H2010 he refers to the 
Supplément, DPV, t. XII, p. 631-632 and to Duchet (F.21-D) and to Hist. Voyages, t.1 p. 501",""
"34","32","V-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","82","Goggi: ""Ni dans le fonds Vandeul ni dans la ""Liste""""",""
"35","33","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","59","",""
"36","34","V-FP_T1 L3","yes","yes","L3","appeared","not changed","not changed","yes","no","","","","191","P.D. p. 403",""
"37","35","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","yes","no","","","","145","P.D. p. 403-404",""
"38","36","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","no","no","yes","no","yes (says Duch)","290","Goggi: V4, p. 33 (Observations p. 371) // Duchet: Obs. p. 371 + Mémoires pour Catherine (X, 755) + Eléments de physiologie (XIII, p. 823)",""
"39","37","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","yes","no","yes (says Duch)","","","444","Duchet: P.D. p. 125-127 (same as Goggi) + Observations p. 399-400",""
"40","38","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","217","Goggi: ""Non repris dans le fonds Vandeul""",""
"41","39 A","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","yes","no","","","","58","Goggi: P.D. p. 11 (same as Duchet) but with ""sans les trois premières phrases de §4"" 
I deleted now the first 3 sentences of this fragment (in V-FP). These three sentences can only be found in H-FP)",""
"42","39 B","H-FP_T1 L3","no","yes","L3","not appeared","not appeared","appeared","yes","no","","","","81","Fragment 39 is now divided into 39 A (appeared in V and H) and 39 B (appeared only in H) - commenty by Cassandra",""
"43","40","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","no","no","","","yes","981","Eloge d'Eliza Draper
Fragment mentioned by Diderot in his ""Lettre apologétique""",""
"44","41","V-FP_T1 L3","yes","yes","L3","not appeared","appeared","changed","yes","no","","","","436","",""
"45","42","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","77","Goggi: ""Non repris dans le fonds Vandeul""",""
"46","43","V-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","384","In Goggi's ""Liste"" no. 40 (with Asterix*)",""
"47","44","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","108","Goggi: ""Non repris dans le fonds Vandeul""",""
"48","45","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","69","Goggi: ""Non repris dans le fonds Vandeul"" + in Goggi's ""Liste"" no. 41 (with Asterix*)",""
"49","46","H-FP_T1 L3","no","yes","L3","n/a","n/a","n/a","no","no","","","","39","Goggi: ""Non repris dans le fonds Vandeul""",""
"50","47","V-FP_T1 L3","yes","yes","L3","not appeared","appeared","not changed","yes","no","","","","555","Goggi: P.D. p. 321-324 (same as Duchet) + ""ajouté le §19"" // I did not add §19 to V-FP",""
"51","Non Marque I","V-FP_T1 L3","yes","no","L3","not appeared","not appeared","appeared","yes","no","","","","61","P.D. page 324-325 is NOT marked in the exemplaire Hornoy (pages 325-327 etc. are marked though (Fragment 48))",""
"52","48","V-FP_T1 L3","yes","yes","L3","not appeared","appeared","not changed","yes","no","","","","369","Goggi: P.D. p. 325-327 ""ajouté le §27"" // I did not add §27 to V-FP",""
"53","49","V-FP_T1 L3","yes","yes","L3","not appeared","not appeared","appeared","yes","no","","","","645","",""
"54","50","H-FP_T1 L4","no","yes","L4","n/a","n/a","n/a","no","no","","","","163","Goggi: ""Non repris dans le fonds Vandeul"" + In Goggi's ""Liste"" no. 44 (with Asterix*)",""
"55","51","V-FP_T1 L4","yes","yes","L4","not appeared","not appeared","appeared","no","yes","","","yes (says Duchet)","2079","Duchet: Mél p. 3-12 (like Goggi) + Neveu de Rameau (O.C. X, p. 404)
Fragment mentioned by Diderot in his ""Lettre apologétique"" (Ohji gives a shorter fragment than Duchet, though: Mélanges, p. 5-12 and not 3-12).",""
"56","52","H-FP_T1 L4","no","yes","L4","n/a","n/a","n/a","no","no","","","","189","Goggi: ""Non repris dans le fonds Vandeul"" + In Goggi's ""Liste"" no. 50 (with Asterix*)",""
"57","53","V-FP_T1 L4","yes","yes","L4","not appeared","appeared","changed","yes","no","no","yes (says Duch)","","1478","",""
"58","54","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","356","",""
"59","55","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","no","yes","","","","859","Fragment mentioned by Diderot in his ""Lettre apologétique""",""
"60","56","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","257","",""
"61","57","H-FP_T1 L5","no","yes","L5","n/a","n/a","n/a","no","no","","","","107","Goggi: ""Non repris dans le fonds Vandeul"" + In Goggi's ""Liste"" no. 68 (with Asterix*) (t.I, p. 788)",""
"62","58","V-FP_T1 L5","yes","yes","L5","n/a","n/a","n/a","no","yes","","","","84","does NOT appear in Duchet (only in Goggi!) // Goggi: Mél p. 115-116",""
"63","59","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","210","",""
"64","60","H-FP_T1 L5","no","yes","L5","n/a","n/a","n/a","no","no","","","","34","Goggi: ""Non repris dans le fonds Vandeul""",""
"65","61 A","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","126","CAREFUL: these are the same pages as Fragment 59 (PD p. 60-61) - Goggi noted: ""Sans les trois dernières lignes de l'alinéa"" // Marked
 passages after ""[...] reçu le jour & l'éducation."" were deleted.",""
"66","61 B","H-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","69","",""
"67","62","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","366","Goggi: P.D. p. 196-198 (ajouté le §18) // I did not change the fragment",""
"68","63","H-FP_T1 L5","no","yes","L5","n/a","n/a","n/a","no","no","","","","237","Goggi: ""Non repris dans le fonds Vandeul""",""
"69","64 A","V-FP_T1 L5","yes","yes","L5","appeared","changed","changed","no","yes","","","","836","Duchet splits Fragment 64 into two parts - I am not sure where exactly to split this fragment...",""
"70","64 B","H-FP_T1 L5","yes","yes","L5","appeared","not changed","not changed","yes","no","","","","81","see above!",""
"71","65","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","yes","","","","746","Goggi P.D. p. 257-261 // Duchet P.D. p. 257-260",""
"72","66","V-FP_T1 L5","yes","yes","L5","not appeared","appeared","changed","yes","no","","","","219","Goggi: P.D. p. 83-84 (une ligne du §9 a été ajoutée) // I did not change anything here",""
"73","67","V-FP_T1 L5","yes","yes","L5","not appeared","not appeared","appeared","yes","no","","","","290","",""
"74","68 A","V-FP_T1 L5 +
FP II","yes","yes","L5","not appeared","appeared","changed","no","no","yes","no","yes","2058","Duchet: Sur la civilisation de Russie, Mémoires pour Catherine II p. 722, Observ.  p. 351 // Goggi: FP, XVI --> HDI Civilisation Russie
 (sans l'aniléa dernier le §21) // here is the big chunk which is included in FP II AND Hornoy AND FV
FP: Tome I, Livre 5, c. 23, §1-20        Damien: if it is an FP fragment, it should not be in V-FP
SOLVED: See below
Goggi and Damien's List agree: this is FP II (Goggi's List: FP 16). Duchet refers to all above (but not to FP!). Anyway, this chunk had NOT been deleted from
 H-FP. I do not know why :( I deleted the chunk and reuploaded the file (H-FP_T1 L5.txt). ","yes"
"75","68 B","H-FP_T1 L5","no","yes","L5","not appeared","appeared","changed","no","no","yes","no","yes","53","Duchet: Sur la civilisation de Russie, Mémoires pour Catherine II p. 722, Observ.  p. 351 // Goggi: FP, XVI --> HDI Civilisation Russie
 (sans l'aniléa dernier le §21) // here is the small chunk which is only included in Hornoy (§21). It was originally from FP and was deleted in H-FP
It is the following: ""Le tableau [...] avec la Chine""",""
"76","FP 3","FP II","yes","no","L5","not appeared","appeared","changed","no","no","","","yes","50","FP: Tome I, Livre 5, c. 24, §1       Damien: Incoherence. Here it is written that this fragment did not appear in the H2I at all. 
SOLVED see below:

The Information about when it appeared in the Histoire and whether it was changed in 1780 was taken from Duchet F. 45-C (see Duchet p. 72). She does not mention any other FP fragment in chapter 24. Goggi suggests this part belongs to FP 14 (his nummerotation), HDI: t. 1 livre 1, chap 21; see Goggi. p. 255 or Duchet p. 66 (F.7-C). Anyway it does not appear in H-FP nor V-FP of course","yes"
"77","69 A","V-FP_T1 L5","yes","yes","L5","n/a","n/a","n/a","no","yes","","","","162","NOT mentioned by Duchet (only Goggi) // Goggi: Mél p. 175-175 (sans la première phrase de l'aniléa) // In V-FP the first sentence was 
deleted - here are 162 words now (in H-FP it was not - 191 words)",""
"78","69 B","H-FP_T1 L5","yes","yes","L5","n/a","n/a","n/a","no","yes","","","","29","",""
"79","70","V-FP_T1 L5","yes","yes","L5","appeared","not changed","changed","yes","no","yes","no","yes","2000","Duchet: Art. ""Besoin"" (+P.D. and Observ.) // Goggo: P.D. p. 382-391 (les quelques lignes de §5 du chap 32 repris dans PD sont 
marquées à la plume dans FI) // I did not change this fragment",""
"80","71","H-FP_T1 L5","yes","yes","L5","not appeared","appeared","not changed","yes","no","","","","224","Goggi: P.D. p. 84 (sans le §8) // I did not delete §8 because I did not see where §7 and 8 end... (here has to be H2010 checked)",""
"81","72 A","H-FP_T2 L6
FP II","yes","yes","L6","not appeared","appeared","not changed","yes","no","","","yes","472 (H-FP)
587 (FP II)","In Hornoy only §1-3 are marked. FP includes §1-4 though. FV includes also all four paragraphs (P.D. p. 228-230) // I added this fragment of
FP to H-FP because it is marked in Hornoy. Of course H-FP is not H-FP anymore then but just H (if needed Fragment 72 can just be 
deleted in H-FP_T2 L6)
FP: Tome II, Livre 6, c. 1, §1-4

Julian: SOLVED see below:
Fragment was deleted from H-FP because it is a FP!

Fragment mentioned by Diderot in his ""Lettre apologétique""","yes"
"82","72 B","H-FP_T2 L6
FP II","yes","no","L6","not appeared","appeared","not changed","yes","no","","","yes","472 (H-FP)
587 (FP II)","In Hornoy only §1-3 are marked. FP includes §1-4 though. FV includes also all four paragraphs (P.D. p. 228-230) // I added this fragment of
FP to H-FP because it is marked in Hornoy. Of course H-FP is not H-FP anymore then but just H (if needed Fragment 72 can just be 
deleted in H-FP_T2 L6)
FP: Tome II, Livre 6, c. 1, §1-4

Julian: SOLVED see below:
Fragment was deleted from H-FP because it is a FP!

Fragment mentioned by Diderot in his ""Lettre apologétique""","yes"
"83","73","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","153","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul""",""
"84","74","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","119","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul""",""
"85","75","H-FP_T2 L6 
FP II","yes","yes","L6","not appeared","appeared","not changed","yes","no","","","yes","175 (H-FP)
156 (FP II)","In Hornoy one more sentence is marked than the original FP part (19 words +). I left FP within H-FP again. In the file I left a space so it
can be deleted if needed (the second part would be deletable if FP II shall be not included in this fragment)
FP: Tome II, Livre 6, c. 8, §7

Julian: SOLVED see below:
Fragment was deleted from H-FP because it is a FP!",""
"86","76","V-FP_T2 L6","yes","yes","L6","n/a","n/a","n/a","no","no","","","","71","Goggi: dans FI l'aniléa a été biffé par Vandeul // It does NOT appear in Duchet's Table",""
"87","77","V-FP_T2 L6","yes","yes","L6","appeared","not changed","not changed","yes","yes","","","","206","Goggi: le §18 marqué au crayon rouge a été biffé par des traits de plume // P.D. and Mél: seulement le §19: Jamais [...]",""
"88","78","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","48","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul""",""
"89","79 A","V-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","yes","no","","","","602","Livre VI, ch 12, paragraphes 5-8:
§5 is missing in the FV, §6 is FI and PD (which is also included by Duchet, §7 and 8 are not included in Duchet and crossed (biffé) by 
Vandeul (but not the last sentence of §8. This is marked in red) // I did NOT change this fragment - §5 could be deleted in V-FP
§7 and §8 I am also not sure how to arrange",""
"90","79 B","","yes","yes","L6","not appeared","not appeared","appeared","n/a","n/a","","","","","",""
"91","79 C","","no","yes","L6","not appeared","not appeared","appeared","n/a","n/a","","","","","These two paragraphs (Livre VI, ch 12, paragraphes 7 & 8) were first selected by Vandeul but then crossed. We do not consider them to be part of Fonds Vandeul.",""
"92","80","V-FP_T2 L6","yes","yes","L6","appeared","not changed","changed","yes","no","","","","861","Duchet included PD p. 342-345. Goggi also mentions some parts of FI. I do not know if Goggi's chunk is larger than the original one",""
"93","81","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","yes","","","","197","",""
"94","82","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","no","yes","","","","235","Here §6 appears in Mél and FI and should be added to V-FP - unfortunately I do not know exactly where it starts",""
"95","83","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","yes","","","","1200","Duchet: P.D. 349-350 // Goggi: P.D. 349-350 + Mél: 23-27 (see notes in Goggi for further information)",""
"96","84","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","no","","","","272","",""
"97","85","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","88","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul""",""
"98","Non Marque II","V-FP_T2 L6","no","no","L6","n/a","n/a","n/a","no","no","","","","166","This does not appear in Duchet. Goggi claims that this could be by Diderot (he puts it into the "" Liste* "" (no. 95))",""
"99","Non Marque III","FP II","no","no","L6","n/a","appeared","n/a","no","no","","","","183","This is part of FP II (it is not mentioned by Duchet though)
FP: Tome II, Livre 6, c. 19, p. 79-80                                        Damien: There is something strange in the indications about the editions. According to 
these indications, this fragment has never appeared in the H2I, which does not make any sense. Furthermore, if it is an FP fragment, then it has been 
written in 1772 and published in H2I in 1774.

SOLVED see below:
This is a FP-chunk which is not mentioned by Duchet. This is why I have no information how it was added/changed. n/a means ""no answer"". I preferred
not to write anything if I do not have clear information in these cases. I am sure it is FP since it appears in Goggi's list aswell as in Damien's list.","yes"
"100","Non Marque IV","V-FP_T2 L6","no","no","L6","n/a","n/a","n/a","no","no","","","","63","Goggi claims that this could/should be Diderot (compare to DPV (?)) ""Liste"" no. 96*",""
"101","Non Marque V","FP II","yes","no","L6","n/a","n/a","n/a","no","no","","","","196","Part of FP II
FP: Tome II, Livre 6, c. 19, p. 81                 Damien: There is something strange in the indications about the editions. According to these indications, 
this fragment has never appeared in the H2I, which does not make any sense. Furthermore, if it is an FP fragment, then it has been written in 1772 and 
published in H2I in 1774.

SOLVED see below:
This chunk also does NOT appear in Duchet. Therefore I have no evidence about any changes or when it was added (at least not by Duchet).","yes"
"102","86","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","no","yes","","","","437","""Sur les femmes"" ",""
"103","87","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","85","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 87",""
"104","88","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","no","no","yes (says Duch)","yes","717","Duchet: PD, Sur les Nations sauvages, FP, Supplément // Goggi: PD",""
"105","89","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","110","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 89",""
"106","90","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","297","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 90",""
"107","91","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","no","","","","325","Duchet: PD 54-56 // Goggi: PD 54-55",""
"108","92","V-FP_T2 L6","yes","yes","L6","not appeared","not appeared","appeared","yes","no","","","","162","",""
"109","93","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","111","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 93",""
"110","94","H-FP_T2 L6","no","yes","L6","n/a","n/a","n/a","no","no","","","","184","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 94",""
"111","95","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","yes","yes","","","","335","Duchet: P.D. p 333-334 // Goggi: P.D. p. 333-335 (""les deux premiers alinéas"" - same for Mélanges) // dans FI le §3 est marqué au 
crayon rouge, mais biffé par de traits de plume) // I left §3 in V-FP",""
"112","96","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","yes","no","","","","185","",""
"113","97","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","95","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 99",""
"114","98","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","214","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 100",""
"115","99","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","172","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 101",""
"116","100","H-FP_T2 L7","no","yes","L7","n/a","n/a","n/a","no","no","","","","208","In Goggi's ""Liste"" but no Asterix* ""Non repris dans le fonds Vandeul"" ""Liste"" no. 102",""
"117","101 A","V-FP_T2 L7","yes","yes","L7","not appeared","appeared","changed","yes","no","","","","142","Goggi: P.D. p. 341-342 (aussi le §30) // I added §30 to V-FP",""
"118","101 B","H-FP_T2 L7","yes","yes","L7","not appeared","appeared","changed","yes","no","","","","245","",""
"119","102","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","yes","no","","","","156","",""
"120","103","V-FP_T2 L7","yes","yes","L7","appeared","not changed","not changed","yes","no","","","","370","",""
"121","Non Marque VI","V-FP_T2 L7","no","no","L7","n/a","n/a","n/a","no","no","","","","140","Here again yellow: not in Fonds Vandeul and not marked in exemplaire Hornoy. It is just something Goggi feels like Diderot should/could 
have written... (H80_T2_L.VII_Chap10_§9_p164-165) ""Liste"" no. 115*",""
"122","104 A","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","no","yes","","","","1106","""Sur les femmes"" // Goggi: Le §6 en entier et le début de §7 sont marqués dans l'exemplaire Hornoy // I deleted these passages from 
V-FP",""
"123","104 B","H-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","no","yes","","","","187","",""
"124","105","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","no","yes","","","","1500","Goggi: dans FI, le §1 du chap. 24 [...] est marqué au crayon rouge, mais biffé par des traits de plume // Mél. p. 51-58 (sans le §1) //
I did not change this fragment (§1 could be deleted maybe?)",""
"125","106","V-FP_T2 L7","yes","yes","L7","appeared","not changed","changed","no","yes","","","","558","Goggi: (FI) la marque rouge commence du §6, mais Vandeul semble avoir préparé aussi le §5 pour la transcription) // Mél. p. 58-61 (aussi
le §5) // I did NOT add §5 to V-FP!",""
"126","107","V-FP_T2 L7","yes","yes","L7","appeared","not changed","not changed","yes","no","","","yes","162","Duchet: P.D. p. 352-353 (same as Goggi) + ""Art. Laborieux"" (O.C. XV, 324)",""
"127","108","V-FP_T2 L7","yes","yes","L7","not appeared","not appeared","appeared","yes","no","","","","152","Goggi: (FI) tout le §15 marqué au crayon rouge, y compris les trois premières lignes // P.D. 353-354 (sans les trois premières lignes,
c'est-à-dire à partir de Ainsi cette fatalité) // I did not change this fragment within the V-FP",""
